id,name,address,latitude,longitude,poker_atlas_links
1,7 Cedars Casino,"270756 U.S. 101, Sequim, WA 98382",48.02117,-123.00951,www.pokeratlas.com/poker-room/7-cedars-sequim
2,Caribbean Cardroom Kirkland,"12530 NE 144th St, Kirkland, WA 98034",47.73212,-122.17311,www.pokeratlas.com/poker-room/caribbean-kirkland
3,Crazy Moose Casino Pasco,"510 S 20th Ave, Pasco, WA 99301",46.22836,-119.11836,www.pokeratlas.com/poker-room/crazy-moose-pasco
4,Fortune Poker Room,"3650 E Valley Rd, Renton, WA 98057",47.44704,-122.21689,www.pokeratlas.com/poker-room/fortune-poker-room-renton
5,Aces Poker Carribbean Casino Yakima,"1901 Boggess St. Yakima, WA 98901",46.58465,-120.47615,www.pokeratlas.com/poker-room/aces-poker-yakima
6,Fortun Casino Lacey,"8318 Quinault Dr NE, Lacey, WA 98516",47.06337,-122.762475,www.pokeratlas.com/poker-room/fortune-lacey-olympia
7,Aces Poker Mountlake,"7004 220th St. SW, Mountlake Terrace, WA 98043",47.79977,-122.32792,www.pokeratlas.com/poker-room/aces-mt-mountlake-terrace
8,Ace's Poker Lakewood,"10117 S Tacoma Way, Lakewood, WA 98499",47.1649,-122.48299,www.pokeratlas.com/poker-room/aces-poker-lakewood
9,Palace Casino Lakewood,"8200 Tacoma Mall Boulevard, Lakewood, WA 98499",47.18284,-122.46654,www.pokeratlas.com/poker-room/palacelakewood
10,Little Creek Casino,"91 West State Route 108, Shelton, WA 98584",47.12915,-123.1012,www.pokeratlas.com/poker-room/little-creek-casino-shelton
11,Clearwater Saloon & Casino,"838 Valley Mall Parkway, East Wenatchee, WA 98802",47.41509,-120.29324,www.pokeratlas.com/poker-room/clearwater-saloon-casino-east-wenatchee
12,Black Pearl Casino,"2104 N Pines, Spokane, WA 99216",47.67692,-117.23917,www.pokeratlas.com/poker-room/black-pearl-spokane
13,Northern Quest Casino,"100 North Hayford Road, Airway Heights, WA 99001",47.65982,-117.56268,www.pokeratlas.com/poker-room/northern-quest-airway-heights
